epoch,KNN,KNN select,Linear,Linear select,MLP,MLP select,NB,NB select,val MSE,train loss,out std,probe secs
29,0.31616161616161614,0.3074074074074074,0.4589225589225589,0.4484848484848485,0.47575757575757577,0.44915824915824915,0.3878787878787879,0.3956228956228956,0.008251234178545473,0.08654462003707886,0.2353835383852323,13.03
27,0.3377104377104377,0.3269360269360269,0.4713804713804714,0.4447811447811448,0.4858585858585859,0.4643097643097643,0.3851851851851852,0.3952861952861953,0.0082770149541115,0.0903825520674387,0.2351940885980924,11.14
25,0.3404040404040404,0.3212121212121212,0.4646464646464646,0.4592592592592592,0.4794612794612795,0.4555555555555555,0.3942760942760943,0.4087542087542087,0.0077140152538741,0.0940259191989898,0.2351260533332824,14.71
23,0.3424242424242424,0.3171717171717171,0.4599326599326599,0.4505050505050505,0.4925925925925926,0.463973063973064,0.403030303030303,0.4151515151515151,0.0084382500458131,0.0990834023952484,0.2345082635680834,12.79
21,0.3333333333333333,0.3101010101010101,0.4592592592592592,0.4501683501683501,0.4562289562289562,0.4451178451178451,0.3922558922558922,0.4037037037037037,0.0093416115128456,0.1039833296934763,0.2345631406505902,11.95
19,0.334006734006734,0.3151515151515151,0.4676767676767677,0.4488215488215488,0.4707070707070707,0.4501683501683501,0.3865319865319865,0.3956228956228956,0.0085942200260968,0.1101378801663716,0.2341903918385505,11.82
17,0.3447811447811448,0.3195286195286195,0.4525252525252525,0.4538720538720538,0.4801346801346801,0.4582491582491582,0.3909090909090909,0.3959595959595959,0.0092977748101917,0.1170428876082102,0.2337928474346796,14.48
15,0.3127946127946128,0.3094276094276094,0.4565656565656565,0.4538720538720538,0.4747474747474747,0.4511784511784512,0.3808080808080808,0.3959595959595959,0.0092312800102465,0.1257548228899637,0.233187724729379,13.44
13,0.3323232323232323,0.3124579124579124,0.4444444444444444,0.4434343434343434,0.4545454545454545,0.4316498316498317,0.373063973063973,0.3818181818181818,0.0101328981299198,0.1366350866953531,0.2322986729542414,15.46
11,0.3333333333333333,0.3148148148148148,0.4498316498316498,0.4407407407407407,0.4592592592592592,0.4498316498316498,0.3787878787878788,0.3942760942760943,0.0107301148597554,0.150391877969106,0.2315946883360544,15.42
9,0.3222222222222222,0.302020202020202,0.4134680134680135,0.4047138047138047,0.4484848484848485,0.4326599326599326,0.3548821548821549,0.3646464646464646,0.0120040358227824,0.1704368992646535,0.2307507698933283,13.21
7,0.3175084175084175,0.3107744107744107,0.405050505050505,0.3983164983164983,0.4383838383838384,0.4377104377104377,0.374074074074074,0.3754208754208754,0.0125211794905324,0.1946669376691182,0.2290792963902155,15.01
5,0.2986531986531986,0.2848484848484848,0.3976430976430976,0.3973063973063973,0.4346801346801346,0.4084175084175084,0.3585858585858585,0.3649831649831649,0.0140078394718428,0.2295554821491241,0.2255285155177116,12.37
3,0.3488215488215488,0.3464646464646465,0.3932659932659932,0.3942760942760943,0.4242424242424242,0.4144781144781145,0.3393939393939394,0.3434343434343434,0.0208196464469441,0.3046825917561849,0.2211590680480003,11.97
1,0.3195286195286195,0.3161616161616161,0.3538720538720539,0.3525252525252525,0.3835016835016835,0.3764309764309764,0.2336700336700336,0.237037037037037,0.0271435445323454,0.6256264410018921,0.1923022148236632,10.86
0,0.2979797979797979,0.2956228956228956,0.4053872053872054,0.4026936026936027,0.441077441077441,0.4424242424242424,0.2808080808080808,0.2845117845117845,0.0634872805902843,,,11.0
