epoch,KNN,KNN select,Linear,Linear select,MLP,MLP select,NB,NB select,val MSE,train loss,out std,KL,probe secs
29,0.3851851851851852,0.38686868686868686,0.5393939393939394,0.531986531986532,0.5242424242424243,0.5279461279461279,0.3602693602693603,0.36666666666666664,0.03466953240917271,0.26237115118900933,0.22072065327564874,0.00865213757691284,10.17
27,0.398989898989899,0.3905723905723905,0.5356902356902357,0.5420875420875421,0.5259259259259259,0.5323232323232323,0.3575757575757576,0.3639730639730639,0.0331177933780115,0.2636787459254265,0.2200581055283546,0.0084725285793344,13.74
25,0.3986531986531986,0.3912457912457912,0.5272727272727272,0.54006734006734,0.5303030303030303,0.5242424242424243,0.3902356902356902,0.3861952861952862,0.0356893067183651,0.2644073727726936,0.2193565916419029,0.0084939033407717,11.35
23,0.4,0.4,0.5222222222222223,0.5282828282828282,0.5232323232323233,0.5249158249158249,0.3767676767676767,0.3760942760942761,0.0355188769270164,0.2657581913471222,0.2198037734429041,0.0084399423145999,15.96
21,0.3855218855218855,0.3946127946127946,0.5161616161616162,0.5202020202020202,0.5124579124579125,0.5168350168350169,0.3750841750841751,0.3653198653198653,0.0369683398764256,0.2672018356720606,0.2198766825397809,0.0083407251499593,12.49
19,0.3993265993265993,0.3872053872053872,0.5161616161616162,0.5141414141414141,0.5151515151515151,0.5016835016835017,0.3693602693602693,0.3703703703703703,0.0377119022949233,0.2684696127573649,0.2175032518704732,0.0084071129566679,10.76
17,0.4127946127946127,0.398989898989899,0.5141414141414141,0.5175084175084175,0.4973063973063973,0.5063973063973064,0.3956228956228956,0.3942760942760943,0.0343015116819744,0.2703361709515253,0.2178042683800061,0.0082958462250729,12.96
15,0.3942760942760943,0.4013468013468013,0.5077441077441077,0.4979797979797979,0.4919191919191919,0.4885521885521885,0.4037037037037037,0.4080808080808081,0.0371680450303145,0.2722660615841548,0.2175483255386352,0.0083938394077122,12.17
13,0.4013468013468013,0.3929292929292929,0.5037037037037037,0.4919191919191919,0.4942760942760942,0.4848484848484848,0.4191919191919191,0.4084175084175084,0.0361696801795152,0.2742606705427169,0.2163767314950625,0.0081888376182566,12.65
11,0.4023569023569023,0.405050505050505,0.4868686868686869,0.4902356902356902,0.467003367003367,0.4713804713804714,0.4074074074074074,0.406060606060606,0.0381419861632966,0.2760738910833994,0.214517292022705,0.0078977082526932,11.15
9,0.4138047138047138,0.4057239057239057,0.494949494949495,0.4983164983164983,0.4828282828282828,0.4895622895622896,0.4063973063973064,0.4097643097643098,0.0380358362659732,0.2784210089842478,0.2144903639157613,0.0078043126855045,11.05
7,0.4134680134680135,0.3932659932659932,0.4932659932659932,0.4898989898989899,0.464983164983165,0.4643097643097643,0.4003367003367003,0.4067340067340067,0.042353400685965,0.2807055158217748,0.2130476547280947,0.0076194150187075,14.49
5,0.3868686868686868,0.3774410774410774,0.4771043771043771,0.4858585858585859,0.4515151515151515,0.4555555555555555,0.3764309764309764,0.3771043771043771,0.0423210769904972,0.2843252603212992,0.21184018745025,0.0075823174715042,15.18
3,0.3703703703703703,0.3585858585858585,0.4632996632996633,0.464983164983165,0.4444444444444444,0.4407407407407407,0.3646464646464646,0.3649831649831649,0.0468517185699982,0.289878934264183,0.2070286556482315,0.007721895372495,16.76
1,0.3225589225589225,0.3158249158249158,0.4333333333333333,0.4235690235690236,0.4235690235690236,0.4296296296296296,0.3195286195286195,0.3151515151515151,0.050125601799037,0.3185507045586904,0.1739321151773135,0.0104029594175517,17.52
0,0.27003367003367,0.2737373737373737,0.3952861952861953,0.3858585858585858,0.4087542087542087,0.4013468013468013,0.2814814814814815,0.2865319865319865,0.0648761921583759,,,,15.04
