epoch,KNN,KNN select,Linear,Linear select,MLP,MLP select,NB,NB select,val MSE,train loss,out std,probe secs
29,0.19595959595959597,0.20303030303030303,0.3202020202020202,0.3191919191919192,0.24612794612794614,0.25892255892255894,0.15218855218855218,0.15656565656565657,0.04720061347153216,0.049656647723168135,0.12185323890298605,47.21
27,0.1986531986531986,0.204040404040404,0.3181818181818182,0.3205387205387205,0.2515151515151515,0.2555555555555555,0.1535353535353535,0.1569023569023569,0.0472511376252606,0.0504120523110032,0.1206377288326621,47.84
25,0.1966329966329966,0.204040404040404,0.3154882154882155,0.3181818181818182,0.2531986531986532,0.2441077441077441,0.1545454545454545,0.1585858585858585,0.0473723951495561,0.0502757839858531,0.1181588480249047,46.26
23,0.2,0.1888888888888888,0.3158249158249158,0.3215488215488215,0.2471380471380471,0.2498316498316498,0.1474747474747474,0.1558922558922559,0.0474248386681291,0.050865183584392,0.1199233829975128,42.7
21,0.1979797979797979,0.1942760942760942,0.3218855218855219,0.3235690235690235,0.2663299663299663,0.2626262626262626,0.1508417508417508,0.1562289562289562,0.0486391639108662,0.0499097285792231,0.1213396452367305,41.7
19,0.1949494949494949,0.2080808080808081,0.3181818181818182,0.3239057239057239,0.2585858585858586,0.2622895622895623,0.1521885521885521,0.1575757575757575,0.0474936019159443,0.0510797607712447,0.1220550732687115,43.92
17,0.1976430976430976,0.2043771043771043,0.3141414141414141,0.3218855218855219,0.2515151515151515,0.2528619528619528,0.1501683501683501,0.1582491582491582,0.0474030308451893,0.0499055730178952,0.1170151196420192,43.26
15,0.1902356902356902,0.205050505050505,0.3114478114478115,0.3215488215488215,0.2474747474747475,0.2582491582491582,0.1518518518518518,0.1599326599326599,0.0474621535115089,0.0507388268597424,0.1189880911260843,44.54
13,0.1996632996632996,0.2080808080808081,0.3175084175084175,0.3239057239057239,0.2447811447811448,0.2592592592592592,0.1545454545454545,0.1575757575757575,0.0483630628889132,0.0511465691961348,0.1196418469771742,40.82
11,0.2121212121212121,0.2127946127946128,0.3127946127946128,0.3225589225589225,0.265993265993266,0.2703703703703703,0.1599326599326599,0.1656565656565656,0.0485780159570607,0.0525243314914405,0.1118397787213325,40.61
9,0.1976430976430976,0.1966329966329966,0.3127946127946128,0.3175084175084175,0.2430976430976431,0.2430976430976431,0.1649831649831649,0.1734006734006734,0.0484206599727617,0.0541252926923334,0.0960791865363717,38.15
7,0.1845117845117845,0.1868686868686868,0.3168350168350168,0.3121212121212121,0.2228956228956229,0.239057239057239,0.1737373737373737,0.1771043771043771,0.052322317225789,0.0575446072034537,0.0776422526687383,45.36
5,0.1959595959595959,0.2016835016835017,0.3218855218855219,0.3272727272727272,0.2538720538720538,0.2619528619528619,0.1444444444444444,0.141077441077441,0.0591154176324976,0.0633035758510232,0.0586869774851948,45.26
3,0.2104377104377104,0.2117845117845118,0.3468013468013468,0.3474747474747475,0.2744107744107744,0.2774410774410774,0.1451178451178451,0.1434343434343434,0.0612165754326812,0.0662996238097548,0.0107743422850035,33.42
1,0.2383838383838384,0.2336700336700336,0.3801346801346801,0.4104377104377104,0.3464646464646465,0.3447811447811448,0.169023569023569,0.1676767676767676,0.0661038890758903,0.0754146231338381,0.0061533386615337,38.21
0,0.2417508417508417,0.2555555555555555,0.4127946127946127,0.4225589225589226,0.3447811447811448,0.373063973063973,0.2232323232323232,0.2218855218855218,0.0887877001405609,,,28.44
